日期,隊伍,總分
20230528,Pirates vs Mariners,9
20230528,Phillies vs Braves,15
20230529,Guardians vs Orioles,5
20230529,Rangers vs Tigers,5
20230529,Royals vs Cardinals,7
20230529,Rays vs Cubs,1
20230529,Rockies vs Diamondbacks,12
20230529,Twins vs Astros,12
20230529,Pirates vs Giants,18
20230529,Braves vs Athletics,9
20230529,Angels vs White Sox,10
20230529,Nationals vs Dodgers,7
20230529,Yankees vs Mariners,14
20230530,Padres vs Marlins,13
20230530,Rangers vs Tigers,16
20230530,Guardians vs Orioles,13
20230530,Brewers vs Blue Jays,9
20230530,Reds vs Red Sox,17
20230530,Phillies vs Mets,2
20230530,Royals vs Cardinals,3
20230530,Rays vs Cubs,3
20230530,Angels vs White Sox,10
20230530,Twins vs Astros,6
20230530,Braves vs Athletics,3
20230530,Rockies vs Diamondbacks,6
20230530,Yankees vs Mariners,12
20230530,Pirates vs Giants,3
20230530,Nationals vs Dodgers,12
